step,train_loss,lr,grad_norm,tok_per_sec,val_loss
122,6.140282,3.660000e-04,0.7956,75938.15,
123,6.140046,3.690000e-04,0.7786,75933.82,
124,6.139432,3.720000e-04,0.8707,75935.52,
125,6.159240,3.750000e-04,1.2963,75939.98,
126,6.136973,3.780000e-04,0.7331,75937.97,
127,6.119840,3.810000e-04,0.8498,75942.38,
128,6.081975,3.840000e-04,0.8855,75936.57,
129,6.023587,3.870000e-04,0.6695,75938.60,
130,6.012450,3.900000e-04,0.6746,75932.83,
131,6.060930,3.930000e-04,0.5773,75942.48,
132,6.016452,3.960000e-04,0.5823,75941.77,
133,6.026628,3.990000e-04,0.6115,75940.04,
134,5.939441,4.020000e-04,0.7575,75942.49,
135,5.945562,4.050000e-04,0.7301,75939.71,
136,5.991360,4.080000e-04,0.7354,75939.32,
137,5.958416,4.110000e-04,0.6680,75942.20,
138,5.982777,4.140000e-04,0.6760,75937.56,
139,5.921285,4.170000e-04,0.8334,75939.35,
140,6.045953,4.200000e-04,1.4494,75940.57,
141,6.151063,4.230000e-04,0.8346,75937.39,
142,6.031599,4.260000e-04,0.7422,75935.79,
143,6.085768,4.290000e-04,0.8686,75940.36,
144,6.032835,4.320000e-04,1.1310,75931.74,
145,6.032832,4.350000e-04,1.2908,75941.23,
146,6.017621,4.380000e-04,1.2348,75938.83,
147,6.023895,4.410000e-04,0.9506,75946.52,
148,6.028713,4.440000e-04,0.8500,75933.13,
149,6.014733,4.470000e-04,0.7176,75934.80,
150,5.984478,4.500000e-04,0.6890,75939.53,
151,5.980392,4.530000e-04,0.6517,75938.18,
152,5.878642,4.560000e-04,0.6460,75940.38,
153,5.915820,4.590000e-04,0.6131,75938.49,
154,5.958456,4.620000e-04,0.5462,75942.22,
155,5.866968,4.650000e-04,0.6497,75941.49,
156,5.848857,4.680000e-04,0.8278,75944.20,
157,5.887827,4.710000e-04,1.0082,75943.80,
158,5.966583,4.740000e-04,1.2319,75939.76,
159,5.956195,4.770000e-04,0.7995,75944.16,
160,5.862925,4.800000e-04,0.8237,75934.56,
161,5.793212,4.830000e-04,0.9483,75934.04,
162,5.921571,4.860000e-04,1.5740,75939.15,
163,5.795636,4.890000e-04,0.8392,75943.42,
164,5.749105,4.920000e-04,0.7015,75936.09,
165,5.751531,4.950000e-04,0.6403,75936.07,
166,5.798816,4.980000e-04,0.8143,75935.93,
167,5.657784,5.010000e-04,0.9631,75941.93,
168,5.776628,5.040000e-04,1.2938,75941.62,
169,5.727814,5.070000e-04,0.8402,75936.31,
170,5.738372,5.100000e-04,1.2159,75938.66,
171,5.708055,5.130000e-04,0.8703,75933.45,
172,5.736248,5.160000e-04,0.9868,75937.65,
173,5.707933,5.190000e-04,1.2381,75941.43,
174,5.671259,5.220000e-04,1.0191,75945.33,
175,5.638054,5.250000e-04,1.3309,75935.89,
176,5.669380,5.280000e-04,0.8303,75941.92,
177,5.609673,5.310000e-04,0.7897,75945.99,
178,5.665565,5.340000e-04,1.0329,75943.16,
179,5.592306,5.370000e-04,1.3907,75914.81,
180,5.556214,5.400000e-04,0.6487,75922.91,
181,5.538526,5.430000e-04,0.6152,75941.14,
182,5.560807,5.460000e-04,0.5662,75936.74,
183,5.558627,5.490000e-04,0.5740,75939.31,
184,5.540472,5.520000e-04,0.5702,75938.64,
185,5.566830,5.550000e-04,0.7525,75944.06,
186,5.635081,5.580000e-04,0.9522,75935.26,
187,5.662409,5.610000e-04,0.9125,75944.34,
188,5.721261,5.640000e-04,1.1331,75916.67,
189,5.673805,5.670000e-04,1.0348,75923.91,
190,5.655947,5.700000e-04,1.0729,75920.17,
191,5.694772,5.730000e-04,0.9389,74252.88,
192,5.615212,5.760000e-04,0.6383,75910.50,
193,5.644768,5.790000e-04,0.9186,75937.54,
194,5.664367,5.820000e-04,1.7697,75939.03,
195,5.560062,5.850000e-04,0.7040,75944.32,
196,5.593683,5.880000e-04,0.9341,75943.03,
197,5.532989,5.910000e-04,0.8953,75938.56,
198,5.582209,5.940000e-04,0.8568,75940.76,
199,5.561786,5.970000e-04,0.7908,75940.88,
200,5.521045,6.000000e-04,0.6758,75944.44,
201,5.536216,6.000000e-04,0.7355,75945.60,
202,5.516773,5.999999e-04,0.8253,75942.34,
203,5.518087,5.999997e-04,0.9541,75938.34,
204,5.499383,5.999994e-04,0.8935,75942.65,
205,5.491399,5.999990e-04,0.7164,75933.72,
206,5.504587,5.999984e-04,0.7689,75937.72,
207,5.526911,5.999977e-04,0.9509,75933.97,
208,5.498658,5.999969e-04,1.1911,75944.27,
209,5.428540,5.999959e-04,0.8748,75936.88,
210,5.370094,5.999948e-04,0.5778,75937.47,
211,5.399772,5.999936e-04,0.5397,75941.26,
212,5.434988,5.999923e-04,0.6182,75939.35,
213,5.440706,5.999908e-04,0.7204,75939.56,
214,5.420799,5.999892e-04,0.9351,75938.98,
215,5.412801,5.999875e-04,0.9364,75933.33,
216,5.410931,5.999856e-04,0.6370,75937.36,
217,5.341623,5.999837e-04,0.6501,75939.90,
218,5.366252,5.999815e-04,0.6450,75938.03,
219,5.326524,5.999793e-04,0.5815,75936.02,
220,5.320296,5.999769e-04,0.6327,75939.68,
221,5.272199,5.999745e-04,0.7063,75935.14,
222,5.270651,5.999718e-04,0.6753,75938.99,
223,5.287646,5.999691e-04,0.8743,75936.74,
224,5.238253,5.999662e-04,1.0880,75940.69,
225,5.247062,5.999632e-04,0.8864,75935.66,
226,5.237971,5.999601e-04,0.7157,75938.55,
227,5.167137,5.999568e-04,0.7731,75939.62,
228,5.303457,5.999535e-04,0.7769,75940.36,
229,5.207065,5.999499e-04,0.7264,75935.09,
230,5.158906,5.999463e-04,0.5334,75933.72,
231,5.184863,5.999425e-04,0.6073,75929.67,
232,5.153703,5.999386e-04,0.5558,75937.65,
233,5.339935,5.999346e-04,0.5278,75937.90,
234,5.341406,5.999305e-04,0.6294,75932.31,
235,5.353884,5.999262e-04,0.9166,75939.14,
236,5.386557,5.999218e-04,1.0829,75932.09,
237,5.373630,5.999173e-04,0.6784,75940.30,
238,5.355017,5.999126e-04,0.8398,75939.57,
239,5.293405,5.999078e-04,0.7347,75939.19,
240,5.304442,5.999029e-04,0.9126,75933.11,
241,5.313386,5.998978e-04,0.7285,75931.79,
242,5.302924,5.998927e-04,0.6460,75937.31,
243,5.328430,5.998874e-04,0.6501,75937.26,
244,5.315390,5.998819e-04,0.7303,75934.82,
245,5.227008,5.998764e-04,0.8418,75942.02,
246,5.204816,5.998707e-04,0.8227,75937.33,
247,5.205504,5.998649e-04,0.5486,75939.42,
248,5.248044,5.998590e-04,0.5452,75946.38,
249,5.208790,5.998529e-04,0.5582,75934.10,
250,5.190718,5.998467e-04,0.6102,75940.11,5.1926
251,5.224898,5.998404e-04,0.6839,62499.88,
252,5.181454,5.998339e-04,0.5208,75937.56,
253,5.190931,5.998274e-04,0.4133,75940.75,
254,5.204007,5.998207e-04,0.4861,75936.24,
255,5.213779,5.998138e-04,0.5021,75935.97,
256,5.086949,5.998069e-04,0.5907,75940.83,
257,5.141532,5.997998e-04,0.5463,75939.99,
258,5.114551,5.997926e-04,0.4469,75937.91,
259,5.089581,5.997852e-04,0.4982,75942.94,
260,5.094345,5.997778e-04,0.4964,75935.72,
261,5.040787,5.997702e-04,0.4331,75940.22,
262,5.095456,5.997624e-04,0.6692,75943.18,
263,5.072074,5.997546e-04,0.9664,75923.58,
264,5.064129,5.997466e-04,0.9275,75936.48,
265,5.082036,5.997385e-04,0.8718,75938.30,
266,5.069886,5.997303e-04,0.7454,75935.24,
267,5.103204,5.997219e-04,0.8304,75933.65,
268,5.008957,5.997134e-04,0.9596,75942.34,
269,4.998498,5.997048e-04,0.8159,75930.40,
270,5.052356,5.996961e-04,0.8565,75936.29,
271,5.057266,5.996872e-04,0.8731,75943.49,
272,4.976801,5.996782e-04,0.7602,75936.89,
273,4.974109,5.996691e-04,0.6569,75937.44,
274,4.982857,5.996598e-04,0.5978,75931.70,
275,4.931470,5.996504e-04,0.5659,75932.93,
276,5.006838,5.996409e-04,0.5196,75939.20,
277,5.024779,5.996313e-04,0.5372,75940.60,
278,4.936773,5.996215e-04,0.4756,75935.97,
279,5.139478,5.996116e-04,0.5048,75939.85,
280,5.074847,5.996016e-04,0.5414,75926.36,
281,5.121369,5.995914e-04,0.4817,75937.75,
282,5.093599,5.995812e-04,0.5238,75935.10,
283,5.069796,5.995708e-04,0.5705,75935.48,
284,5.075663,5.995602e-04,0.5060,75938.26,
